Entity,Code,Day,p_proj_all_ages
Albania,ALB,2020-01-31,-10.155285
Albania,ALB,2020-02-29,2.8752053
Albania,ALB,2020-03-31,1.3115113
Albania,ALB,2020-04-30,4.036909
Albania,ALB,2020-05-31,7.0029674
Albania,ALB,2020-06-30,10.223048
Albania,ALB,2020-07-31,23.686619
Albania,ALB,2020-08-31,46.11118
Albania,ALB,2020-09-30,30.54934
Albania,ALB,2020-10-31,45.548153
Albania,ALB,2020-11-30,120.15309
Albania,ALB,2020-12-31,54.603645
Albania,ALB,2021-01-31,23.55943
Albania,ALB,2021-02-28,92.7951
Albania,ALB,2021-03-31,75.63436
Albania,ALB,2021-04-30,39.8751
Albania,ALB,2021-05-31,11.521065
Albania,ALB,2021-06-30,13.20989
Albania,ALB,2021-07-31,4.2024517
Albania,ALB,2021-08-31,23.076923
Albania,ALB,2021-09-30,65.565544
Albania,ALB,2021-10-31,55.430027
Albania,ALB,2021-11-30,43.528065
Albania,ALB,2021-12-31,36.79431
Albania,ALB,2022-01-31,36.15933
Albania,ALB,2022-02-28,42.074265
Albania,ALB,2022-03-31,4.335837
Albania,ALB,2022-04-30,-0.8058452
Albania,ALB,2022-05-31,0.36398208
Albania,ALB,2022-06-30,4.243253
Albania,ALB,2022-07-31,14.287356
Albania,ALB,2022-08-31,13.141501
Albania,ALB,2022-09-30,1.4511977
Albania,ALB,2022-10-31,1.8332405
Albania,ALB,2022-11-30,-3.1869078
Albania,ALB,2022-12-31,0.20277835
Albania,ALB,2023-01-31,-10.22516
Albania,ALB,2023-02-28,-2.510397
Albania,ALB,2023-03-31,-9.546967
Albania,ALB,2023-04-30,-3.0401702
Albania,ALB,2023-05-31,1.4778885
Albania,ALB,2023-06-30,-0.8935855
Albania,ALB,2023-07-31,15.107914
Albania,ALB,2023-08-31,2.2666414
Albania,ALB,2023-09-30,7.610502
Albania,ALB,2023-10-31,1.3864259
Albania,ALB,2023-11-30,-3.563822
Albania,ALB,2023-12-31,-9.582117
Algeria,DZA,2020-01-31,0.56198347
Algeria,DZA,2020-02-29,0.010055756
Algeria,DZA,2020-03-31,0.73636895
Algeria,DZA,2020-04-30,2.4400394
Algeria,DZA,2020-05-31,-1.7064688
Algeria,DZA,2020-06-30,29.1142
Algeria,DZA,2020-07-31,122.31829
Algeria,DZA,2020-08-31,57.205666
Algeria,DZA,2020-09-30,21.596205
Algeria,DZA,2020-10-31,26.040308
Algeria,DZA,2020-11-30,73.50161
Algeria,DZA,2020-12-31,29.691591
Algeria,DZA,2021-01-31,1.5034041
Algeria,DZA,2021-02-28,-8.643797
Algeria,DZA,2021-03-31,0.7842895
Algeria,DZA,2021-04-30,3.6467574
Algeria,DZA,2021-05-31,8.91636
Algeria,DZA,2021-06-30,20.464804
Algeria,DZA,2021-07-31,115.4112
Algeria,DZA,2021-08-31,195.63687
Algeria,DZA,2021-09-30,41.183292
Algeria,DZA,2021-10-31,12.66409
Algeria,DZA,2021-11-30,15.505292
Algeria,DZA,2021-12-31,32.190342
Algeria,DZA,2022-01-31,42.913193
Algeria,DZA,2022-02-28,29.495625
Algeria,DZA,2022-03-31,-5.168716
Algeria,DZA,2022-04-30,-8.990531
Algeria,DZA,2022-05-31,-2.476472
Algeria,DZA,2022-06-30,-5.5085998
Algeria,DZA,2022-07-31,-0.7226202
Algeria,DZA,2022-08-31,2.409563
Algeria,DZA,2022-09-30,-3.6282537
Algeria,DZA,2022-10-31,-5.1083493
Algeria,DZA,2022-11-30,1.6111642
Algeria,DZA,2022-12-31,1.9369056
Algeria,DZA,2023-01-31,-4.402016
Algeria,DZA,2023-02-28,-9.9222145
Algeria,DZA,2023-03-31,-7.57003
Algeria,DZA,2023-04-30,-6.2945113
Algeria,DZA,2023-05-31,-7.12146
Algeria,DZA,2023-06-30,-9.543055
