Entity,Code,Day,COVID-19 positivity rate
Afghanistan,AFG,2022-02-05,47.216427
Afghanistan,AFG,2022-02-06,45.821896
Afghanistan,AFG,2022-02-07,45.37535
Afghanistan,AFG,2022-02-08,45.489735
Afghanistan,AFG,2022-02-09,45.217964
Afghanistan,AFG,2022-02-10,45.660847
Afghanistan,AFG,2022-02-11,46.543476
Afghanistan,AFG,2022-02-12,46.982697
Afghanistan,AFG,2022-02-13,47.600746
Afghanistan,AFG,2022-02-14,48.1686
Afghanistan,AFG,2022-02-15,48.13409
Afghanistan,AFG,2022-02-16,47.60702
Afghanistan,AFG,2022-02-17,45.425026
Afghanistan,AFG,2022-02-18,41.50967
Afghanistan,AFG,2022-02-19,37.35588
Afghanistan,AFG,2022-02-20,33.18013
Afghanistan,AFG,2022-02-21,28.770649
Afghanistan,AFG,2022-02-22,24.398815
Afghanistan,AFG,2022-02-23,20.941505
Afghanistan,AFG,2022-02-24,18.488132
Afghanistan,AFG,2022-02-25,17.15321
Afghanistan,AFG,2022-02-26,16.077114
Afghanistan,AFG,2022-02-27,15.306264
Afghanistan,AFG,2022-02-28,14.769285
Afghanistan,AFG,2022-03-01,14.7151575
Afghanistan,AFG,2022-03-02,14.124686
Afghanistan,AFG,2022-03-03,14.018134
Afghanistan,AFG,2022-03-04,14.065982
Afghanistan,AFG,2022-03-05,14.363174
Afghanistan,AFG,2022-03-06,14.624036
Afghanistan,AFG,2022-03-07,14.9661665
Afghanistan,AFG,2022-03-08,15.49797
Afghanistan,AFG,2022-03-09,16.64703
Afghanistan,AFG,2022-03-10,17.385286
Afghanistan,AFG,2022-03-11,18.420076
Afghanistan,AFG,2022-03-12,19.470755
Afghanistan,AFG,2022-03-13,20.531376
Afghanistan,AFG,2022-03-14,21.356993
Afghanistan,AFG,2022-03-15,21.466295
Afghanistan,AFG,2022-03-16,20.93934
Afghanistan,AFG,2022-03-17,20.117542
Afghanistan,AFG,2022-03-18,18.887754
Afghanistan,AFG,2022-03-19,17.593615
Afghanistan,AFG,2022-03-20,16.124348
Afghanistan,AFG,2022-03-21,14.73233
Afghanistan,AFG,2022-03-22,13.501251
Afghanistan,AFG,2022-03-23,12.459074
Afghanistan,AFG,2022-03-24,11.881059
Afghanistan,AFG,2022-03-25,10.77842
Afghanistan,AFG,2022-03-26,9.585711
Afghanistan,AFG,2022-03-27,8.548072
Afghanistan,AFG,2022-03-28,7.6157293
Afghanistan,AFG,2022-03-29,6.9054637
Afghanistan,AFG,2022-03-30,6.3770723
